"PUBMED.ID","MAPPED_TRAIT","BROAD.ANCESTRAL.CATEGORY","NUMBER.OF.INDIVIDUALS","INITIAL.SAMPLE.SIZE"
"27527254","esophageal adenocarcinoma;esophageal adenocarcinoma, Barrett's esophagus","European;European","21271;27438","4,112 European ancestry cases, 17,159 European ancestry controls;6,167 European ancestry Barrett's oesophagus cases, 4,112 European ancestry esophageal adenocarcinoma cases, 17,159 European ancestry controls"
"27539887","basal cell carcinoma","European","287197","12.945 European ancestry cases, 274,252 European ancestry controls"
"27579533","pancreatic carcinoma","European","13952","5,107 European ancestry cases, 8,845 European ancestry controls"
"27723779","colorectal cancer, alcohol consumption measurement;smoking status measurement, colorectal cancer","European;European","16823;22601","8,058 European ancestry non/occasional, light-to-moderate, and heavy drinker cases, 8,765 European ancestry non/occasional, light-to-moderate, and heavy drinker controls;11,219 European ancestry ever-smoker and never-smoker cases, 11,382 European ancestry ever-smoker and never-smoker controls"
"27749845","head and neck malignant neoplasia","NR, European","11436","2,717 European ancestry oral cavity cancer cases, 273 oral cavity cancer cases, 2,506 European ancestry oropharynx cancer cases, 135 oropharynx cancer cases, 305 European and unknown ancestry hypopharynx cancer cases, 73 European and unknown ancestry overlapping cases, 25 European and unknown ancestry cases, 5,984 European ancestry controls, 601 controls"
"28112199","Hodgkins lymphoma, multiple myeloma, chronic lymphocytic leukemia","European","14421","1,842 European ancestry chronic lymphocytic leukemia cases, 1,465 European ancestry Hodgkin lymphoma cases, 3,790 European ancestry multiple myeloma cases, 7,324 European ancestry controls"
"28165464","chronic lymphocytic leukemia","European","17691","4,478 European ancestry cases and 13,213 European ancestry controls."
"28177523","basal cell carcinoma","European","304241","17,187 European ancestry cases, 287,054 European ancestry controls"
"28195142","thyroid carcinoma","European","290551","2,637 European ancestry cases, 364 non-array typed, familial imputed Icelandic ancestry cases, 134,811 European ancestry controls, 152,739 non-array typed, familial imputed Icelandic ancestry controls."
"28212542","melanoma","European","291407","4,842 European ancestry cases, 286,565 European ancestry controls"
